Clave entidad,Entidad,CVE_MUN,Municipio,Población 2015,Población 2020,Población en situación de pobreza 2010,Población en situación de pobreza 2015,Población en situación de pobreza 2020,Población con ingreso inferior a la línea de pobreza por ingresos 2010,Población con ingreso inferior a la línea de pobreza por ingresos 2015,Población con ingreso inferior a la línea de pobreza por ingresos 2020,Población con carencia por rezago educativo 2010,Población con carencia por rezago educativo 2015,Población con carencia por rezago educativo 2020,Población con carencia por acceso a los servicios de salud 2010,Población con carencia por acceso a los servicios de salud 2015,Población con carencia por acceso a los servicios de salud 2020,Población con carencia por acceso a la seguridad social 2010,Población con carencia por acceso a la seguridad social 2015,Población con carencia por acceso a la seguridad social 2020,Población con carencia por calidad y espacios de la vivienda 2010,Población con carencia por calidad y espacios de la vivienda 2015,Población con carencia por calidad y espacios de la vivienda 2020,Población con carencia por acceso a los servicios básicos en la vivienda 2010,Población con carencia por acceso a los servicios básicos en la vivienda 2015,Población con carencia por acceso a los servicios básicos en la vivienda 2020,Población con carencia por acceso a la alimentación 2010,Población con carencia por acceso a la alimentación 2015,Población con carencia por acceso a la alimentación 2020
21,Puebla,145,San Sebastián Tlacotepec,3823,5239,95.259399,89.428721,95.801809,96.182767,89.547438,96.156244,18.024825,12.986484,16.066962,35.366073,-,10.063498,94.495413,97.800172,97.32538,64.57996,43.24878,52.126227,91.689153,97.34775,88.724264,31.138694,34.263249,43.428901
21,Puebla,146,Santa Catarina Tlaltempan,207,195,73.916318,92.211111,83.416667,81.979079,95.922222,89.583333,10.878661,-,10.9375,56.485356,-,17.708333,57.740586,85.555556,82.8125,41.841004,32.777778,34.375,14.644351,36.666667,38.541667,52.301255,-,45.833333
21,Puebla,147,Santa Inés Ahuatempan,2319,2070,88.669528,92.837896,86.94152,90.784549,95.726785,89.749513,14.077253,8.427268,6.920078,48.841202,10.305958,17.88499,78.712446,83.682233,89.035088,32.103004,26.570048,28.265107,74.420601,76.865271,54.093567,34.248927,24.369297,19.395712
21,Puebla,148,Santa Isabel Cholula,3600,4425,65.977633,73.592407,87.033044,66.139971,73.870725,87.817853,19.588745,13.366803,15.953539,39.466089,13.02165,28.693966,95.27417,97.7722,95.378459,33.694084,29.494823,18.927599,80.988456,62.503922,59.318221,25.21645,20.897396,34.331468
21,Puebla,149,Santiago Miahuatlán,11295,10435,66.415612,69.11211,76.993161,72.820062,74.443143,85.481272,16.601053,14.984983,13.854818,33.718019,15.391802,28.897098,71.679894,78.030539,74.444774,29.65069,28.529569,18.379051,53.893749,47.229836,24.536672,29.350212,25.412178,41.198537
21,Puebla,150,Huehuetlán el Grande,2769,2158,85.172232,91.47954,88.134328,86.567663,91.48295,88.558302,14.411248,10.954817,9.981343,62.126538,9.036658,18.283582,97.188049,99.019608,98.227612,36.643234,36.530264,25.746269,76.362039,71.14237,65.345149,16.344464,21.398124,-
21,Puebla,151,Santo Tomás Hueyotlipan,3111,3225,84.118173,89.966042,89.118601,86.143992,92.11567,93.18124,14.200596,10.116732,10.842607,74.975174,33.463035,45.055644,92.65144,95.790591,93.259141,15.09434,16.413159,16.693164,24.826216,18.853909,15.866455,22.24429,9.904492,12.27345
21,Puebla,152,Soltepec,3234,4000,84.791766,88.967956,80.731236,87.863101,89.988256,86.941709,15.942896,10.025908,11.831632,40.731457,13.567913,22.259019,87.252468,97.453679,85.515235,16.706056,11.284513,6.749646,59.116498,49.039939,31.309534,27.190847,13.092175,21.710337
21,Puebla,153,Tecali de Herrera,8215,8690,69.413784,73.878357,79.950182,71.411326,76.219336,83.467332,11.189093,7.749468,7.660136,30.794661,22.542554,41.626851,90.76096,91.361899,89.781787,16.168664,10.662436,9.218719,41.062469,27.01126,24.441373,25.141756,23.074966,33.445369
21,Puebla,154,Tecamachalco,27931,28305,73.275891,76.608818,75.096279,76.438481,80.601589,80.203522,13.258214,9.664987,11.323748,37.454513,16.997953,38.177961,87.116641,89.08999,85.21404,24.141061,14.934184,10.184329,34.194189,21.78984,23.238932,28.178057,20.991283,28.880457
21,Puebla,155,Tecomatlán,1810,2223,77.298097,83.484848,74.616495,79.677237,84.599242,76.928866,12.121212,7.045455,8.659794,35.51797,9.69697,17.57732,75.264271,92.80303,90.721649,19.027484,25,26.958763,48.907681,60.757576,44.381443,31.148696,27.045455,37.989691
21,Puebla,156,Tehuacán,123591,102543,62.971387,61.649936,63.395654,71.689969,70.817328,75.402719,17.292747,11.147617,11.584838,38.339902,14.723634,32.382531,70.240489,69.139829,62.870509,21.269342,16.266472,11.490625,20.568116,17.236675,11.597165,29.592233,30.97308,32.019282
21,Puebla,157,Tehuitzingo,2851,4164,80.512394,82.131694,84.377477,80.886967,84.102085,85.666726,12.232763,8.871427,9.677997,39.51942,11.170693,22.595212,94.228287,92.274881,94.833936,21.142079,17.304874,17.786113,80.878574,49.389239,66.067608,57.961331,16.945357,28.654959
21,Puebla,158,Tenampulco,2302,1981,84.558221,77.678161,72.880892,85.379754,78.57567,74.206285,6.729081,6.944444,5.62595,63.838502,9.003831,20.425748,94.733762,89.463602,89.102889,51.843183,39.703065,26.051698,79.637215,81.034483,71.566143,11.059099,27.538314,28.484541
21,Puebla,159,Teopantlán,1074,980,89.25,97.318826,97.19667,89.44586,97.32085,97.381894,16.16242,11.336032,10.926119,74.124204,34.412955,20.187305,99.044586,99.190283,99.583767,37.977707,38.05668,40.062435,61.146497,90.384615,80.228928,25.238854,31.477733,29.448491
21,Puebla,160,Teotlalco,1014,1151,78.085492,82.090592,80.183036,78.637306,82.684088,81.1125,10.492228,10.220674,11.607143,34.974093,8.943089,10.535714,96.761658,98.025552,96.785714,29.92228,24.390244,24.107143,67.61658,57.026713,51.607143,22.020725,14.053426,19.464286
21,Puebla,161,Tepanco de López,7962,8277,73.567057,69.45613,75.346052,75.602346,73.506582,84.446479,18.02342,10.716248,10.35136,36.244106,7.13428,31.083734,84.902422,82.695068,70.818435,18.043423,13.834886,10.292592,55.430146,35.089565,33.93199,23.691633,30.130737,32.996859
21,Puebla,162,Tepango de Rodríguez,1479,1456,95.911058,95.386606,97.472702,96.060096,95.466514,97.780926,14.122596,9.436834,10.228058,24.579327,9.208524,-,99.098558,99.162861,98.272287,61.959135,55.175038,51.347616,78.365385,78.767123,71.87284,42.728365,25.190259,36.351071
21,Puebla,163,Tepatlaxco de Hidalgo,6506,6462,81.993445,81.119318,87.427968,82.992496,83.2657,92.438432,18.811522,15.01543,13.953023,35.170125,15.948581,24.086731,92.183226,91.481884,86.465217,25.364093,16.796182,12.339874,41.907713,21.515081,21.180354,52.566926,29.24046,47.915174
21,Puebla,164,Tepeaca,31526,32206,73.12533,75.021325,80.381206,77.939857,77.467872,83.284551,14.273335,12.636846,13.310785,51.079983,23.996896,43.906641,85.978386,91.740192,91.197001,-,13.423901,11.179068,-,22.547934,22.737096,-,29.022658,37.637813
